"date","GAD","GAD-7 - 18-29 yr olds","GAD-7 all","GAD - university students (5 Oct onwards)"
"23-Mar","8.206004","8.2","6",""
"30-Mar","7.721328","7.6","5.5",""
"06-Apr","7.552901","7.7","5.4",""
"13-Apr","7.58102","7.5","5.2",""
"20-Apr","7.626058","7.4","5",""
"27-Apr","7.539668","7.4","5",""
"04-May","7.402543","7.2","4.8",""
"11-May","7.180541","7.1","4.7",""
"18-May","7.339227","7.3","4.7",""
"25-May","6.810202","6.7","4.4",""
"01-Jun","6.755886","6.7","4.4",""
"08-Jun","6.720472","6.7","4.5",""
"15-Jun","6.408451","6.3","4.3",""
"22-Jun","6.06184","6.3","4.2",""
"29-Jun","5.876997","6.1","4.1",""
"06-Jul","5.824869","5.8","4.1",""
"13-Jul","5.67558","5.8","4",""
"20-Jul","5.513308","5.8","3.8",""
"27-Jul","5.705522","5.6","3.8",""
"03-Aug","5.645923","5.7","3.9",""
"10-Aug","5.470167","5.6","3.7",""
"17-Aug","5.442771","6.2","3.9",""
"24-Aug","6.269767","6.2","4.1",""
"31-Aug","5.678899","6.6","4.3",""
"07-Sep","5.487309","6.1","4.2",""
"14-Sep","6.073394","6.2","4.2",""
"21-Sep","6.294117","5.4","3.9",""
"28-Sep","5.847953","6.4","4.2",""
"05-Oct","5.66879","6.8","4.5","5.66879"
"12-Oct","5.825175","6","4.4",""
"19-Oct","6.519685","6","4.3",""
"26-Oct","6.241135","6.6","4.4",""
"02-Nov","5.759124","6.3","4.5",""
"09-Nov","6.319672","6","4.3",""
"16-Nov","6.548673","5.2","4.2",""
