"date","lonely","loneliness - 18-29 yr olds","loneliness - all","loneliness - university students (5 Oct onwards)"
"23-Mar","5.460662","5.7","4.9",""
"30-Mar","5.384306","5.6","5",""
"06-Apr","5.478669","5.7","5",""
"13-Apr","5.505819","5.6","5",""
"20-Apr","5.646362","5.7","5",""
"27-Apr","5.653704","5.8","5",""
"04-May","5.584926","5.7","5",""
"11-May","5.651844","5.8","5",""
"18-May","5.639779","5.8","5",""
"25-May","5.625891","5.7","5",""
"01-Jun","5.547708","5.7","4.9",""
"08-Jun","5.575","5.7","4.9",""
"15-Jun","5.539548","5.6","4.9",""
"22-Jun","5.406344","5.6","4.9",""
"29-Jun","5.4416","5.7","4.9",""
"06-Jul","5.409171","5.5","4.9",""
"13-Jul","5.342857","5.5","4.9",""
"20-Jul","5.338403","5.5","4.8",""
"27-Jul","5.379098","5.6","4.8",""
"03-Aug","5.348485","5.7","4.9",""
"10-Aug","5.246411","5.6","4.8",""
"17-Aug","5.156627","5.7","4.8",""
"24-Aug","5.317757","5.3","4.8",""
"31-Aug","5.198157","5.3","4.8",""
"07-Sep","5.257732","5.5","4.8",""
"14-Sep","5.300926","5.7","4.9",""
"21-Sep","5.300653","5.3","4.8",""
"28-Sep","5.241177","5.4","4.8",""
"05-Oct","5.333333","5.6","4.9","5.333333"
"12-Oct","5.188811","5.4","4.9",""
"19-Oct","5.448819","5.4","4.9",""
"26-Oct","5.475177","5.5","4.9",""
"02-Nov","5.364964","5.6","4.9",""
"09-Nov","5.305785","5.7","4.9",""
"16-Nov","5.40708","5.4","4.9",""
