date,value
2020-10,1180730.00
2020-09,1262122.00
2020-08,1448978.00
2020-07,1220775.00
2020-06,1636992.00
2020-05,1525447.00
2020-04,1620314.00
2020-03,2982104.00
2020-02,1786042.00
2020-01,1685182.00
2019-12,1446638.00
2019-11,1442645.00
2019-10,1424609.00
2019-09,1682681.00
2019-08,1709765.00
2019-07,1534565.00
2019-06,1641527.00
2019-05,1679387.00
2019-04,1318936.00
2019-03,1534169.00
2019-02,1497092.00
2019-01,1488946.00
2018-12,1347363.00
2018-11,1362562.00
2018-10,1492844.00
2018-09,1069421.00
2018-08,1160149.00
2018-07,1103918.00
2018-06,1154014.00
2018-05,1370831.00
2018-04,1211851.00
2018-03,1161959.00
2018-02,1394613.00
2018-01,1228777.00
2017-12,1047727.00
2017-11,1286920.00
2017-10,1271692.00
2017-09,1135185.00
2017-08,1218373.00
2017-07,1069688.00
2017-06,1371571.00
2017-05,1407738.00
2017-04,1012668.00
2017-03,1445569.00
2017-02,1245195.00
2017-01,1247213.00
2016-12,1120579.00
2016-11,1422467.00
2016-10,1250001.00
2016-09,1295400.00
2016-08,1356109.00
2016-07,1126345.00
2016-06,1343769.00
2016-05,1298371.00
2016-04,1176521.00
2016-03,1307242.00
2016-02,1485924.00
2016-01,1259254.00
2015-12,1136856.00
2015-11,1219005.00
2015-10,1303687.00
2015-09,1418014.00
2015-08,1454030.00
2015-07,1442640.00
2015-06,1527935.00
2015-05,1255515.00
2015-04,1170590.00
2015-03,1537853.00
2015-02,1461354.00
2015-01,1359223.00
2014-12,1399489.00
2014-11,1091523.00
2014-10,1672646.00
2014-09,1469780.00
2014-08,1247205.00
2014-07,1134640.00
2014-06,1380998.00
2014-05,1360357.00
2014-04,1470602.00
2014-03,1612735.00
2014-02,1266242.00
2014-01,1473162.00
2013-12,1232903.00
2013-11,1221738.00
2013-10,1373769.00
2013-09,1520830.00
2013-08,1532151.00
2013-07,1510526.00
2013-06,1830385.00
2013-05,1846241.00
2013-04,1538465.00
2013-03,1451005.00
2013-02,1500142.00
2013-01,1161128.00
2012-12,945680.00
2012-11,1014292.00
2012-10,1139446.00
2012-09,1148489.00
2012-08,1162581.00
2012-07,1096710.00
2012-06,1170922.00
2012-05,1381028.00
2012-04,1324792.00
2012-03,1358047.00
2012-02,1401046.00
2012-01,1235476.00
2011-12,974400.00
2011-11,1304013.00
2011-10,1354321.00
2011-09,1428706.00
2011-08,2050177.00
2011-07,1308133.00
2011-06,1710576.00
2011-05,1596849.00
2011-04,1241050.00
2011-03,1705578.00
2011-02,1483656.00
2011-01,1379850.00
2010-12,1371016.00
2010-11,1709893.00
2010-10,1249017.00
2010-09,1356521.00
2010-08,1350601.00
2010-07,985090.00
2010-06,1290014.00
2010-05,1415891.00
2010-04,1172806.00
2010-03,1438300.00
2010-02,1164943.00
2010-01,982138.00
2009-12,992233.00
2009-11,1076313.00
2009-10,1176367.00
2009-09,1063432.00
2009-08,1037763.00
2009-07,911624.00
2009-06,1156228.00
2009-05,809460.00
2009-04,691837.00
2009-03,848694.00
2009-02,680644.00
2009-01,610220.00
2008-12,653424.00
2008-11,715398.00
2008-10,1147481.00
2008-09,1608284.00
2008-08,989198.00
2008-07,1240631.00
2008-06,1347640.00
2008-05,1154423.00
2008-04,1125429.00
2008-03,1408151.00
2008-02,1473440.00
2008-01,1450834.00
2007-12,1000242.00
2007-11,1484402.00
2007-10,1283105.00
2007-09,1198798.00
2007-08,1739700.00
2007-07,1254171.00
2007-06,1348968.00
2007-05,1164182.00
2007-04,1036073.00
2007-03,1459631.00
2007-02,1094368.00
2007-01,865919.00
